T_C,n,DeltaU1_V,U1_min_V,IA_min_nA
185,147,0.09999999999999964,14.6,1.9
185,148,0.05000000000000071,14.65,1.9
185,149,0.08999999999999986,14.74,1.9
185,150,0.049999999999998934,14.79,1.92
185,151,0.20000000000000107,14.99,2.02
185,152,0.6099999999999994,15.6,2.47
185,153,0.15000000000000036,15.75,2.64
185,154,1.3900000000000006,17.14,4.77
185,155,0.14000000000000057,17.28,4.81
185,156,0.04999999999999716,17.33,4.79
185,157,0.15000000000000213,17.48,4.73
185,158,0.05000000000000071,17.53,4.72
185,159,0.04999999999999716,17.58,4.67
185,160,0.05000000000000071,17.63,4.63
185,161,1.240000000000002,18.87,2.96
185,162,0.09999999999999787,18.97,2.89
185,163,0.05000000000000071,19.02,2.87
185,164,0.05000000000000071,19.07,2.85
185,165,0.08999999999999986,19.16,2.82
185,166,0.05000000000000071,19.21,2.81
185,167,0.05000000000000071,19.26,2.83
185,168,0.04999999999999716,19.31,2.84
185,169,0.10000000000000142,19.41,2.87
185,170,0.05000000000000071,19.46,2.88
185,171,0.05000000000000071,19.51,2.9
185,172,4.219999999999999,23.73,4.17
185,173,0.14999999999999858,23.88,4.05
185,174,0.05000000000000071,23.93,4.01
185,175,0.05000000000000071,23.98,4.0
185,176,0.03999999999999915,24.02,4.0
185,177,0.05000000000000071,24.07,4.02
185,178,0.05000000000000071,24.12,4.06
185,179,0.14999999999999858,24.27,4.17
185,180,4.52,28.79,5.83
185,181,0.14000000000000057,28.93,5.83
185,182,0.05000000000000071,28.98,5.85
185,183,4.809999999999999,33.79,8.56
185,184,0.05000000000000426,33.84,8.55
185,185,0.04999999999999716,33.89,8.55
185,186,0.10000000000000142,33.99,8.57
185,187,0.04999999999999716,34.04,8.6
185,188,4.810000000000002,38.85,12.42
185,189,0.04999999999999716,38.9,12.39
185,190,0.14000000000000057,39.04,12.44
185,191,2.9299999999999997,41.97,29.96
